OPEID,INSTNM,CITY,STABBR,ADM_RATE,SAT_AVG_ALL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,PPTUG_EF,PPTUG_EF2,CURROPER,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,APPL_SCH_PCT_GE4,APPL_SCH_PCT_GE5,DEP_INC_AVG,IND_INC_AVG,DEBT_MDN,DEBT_MDN_SUPP,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,LO_INC_RPY_3YR_RT_SUPP,MD_INC_RPY_3YR_RT_SUPP,HI_INC_RPY_3YR_RT_SUPP,COMPL_RPY_3YR_RT_SUPP,NONCOM_RPY_3YR_RT_SUPP,DEP_RPY_3YR_RT_SUPP,IND_RPY_3YR_RT_SUPP,PELL_RPY_3YR_RT_SUPP,NOPELL_RPY_3YR_RT_SUPP,FEMALE_RPY_3YR_RT_SUPP,MALE_RPY_3YR_RT_SUPP,FIRSTGEN_RPY_3YR_RT_SUPP,NOTFIRSTGEN_RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,C200_4_POOLED_SUPP
101200,Birmingham Southern College,Birmingham,AL,0.6422,1177,1181,0.8103,0.094,0.0305,0.039,0.0102,0,0.0076,0,0.0085,NULL,0.0119,NULL,1,NULL,22994,44512,NULL,30690,30690,NULL,11928,9990,7513,0.6479,0.2136,0.582938389,0.450236967,96416.82782,6730.526355,21500,21500,27000,299.75535,0.84984985,0.756097561,0.864,0.896825397,PrivacySuppressed,0.848024316,0.860841424,PrivacySuppressed,0.780645161,0.91011236,0.867816092,0.828025478,0.859649123,0.860557769,NULL,0.633327199,NULL,0.63783607
1218200,Chattahoochee Valley Community College,Phenix City,AL,NULL,NULL,1769,0.4675,0.4409,0.0379,0.0136,0.0034,0.0028,0.0107,0,0.0232,NULL,0.4059,NULL,1,1873,NULL,6800,NULL,4260,7590,NULL,2056,4459,5749,0.2903,0.6116,0.20884235,0.130308319,32378.38311,20311.18929,4569,4569,7000,77.71435,0.528708134,0.439849624,0.658536585,PrivacySuppressed,0.568181818,0.515243902,0.597484277,0.488188976,0.470769231,0.75,0.516891892,0.571428571,0.562130178,0.529069767,0.140052962,NULL,0.239854244,NULL
1055400,Concordia College Alabama,Selma,AL,NULL,NULL,523,0.0115,0.9388,0.0134,0.0038,0,0,0,0.0325,0,NULL,0.0631,NULL,1,NULL,12686,17655,NULL,8090,8090,NULL,6023,6652,5720,0.5833,0.8363,0.367272727,0.292727273,22865.72317,6933.088385,8050,8050,26500,294.204325,0.254125413,0.257575758,0.21875,PrivacySuppressed,PrivacySuppressed,0.242214533,0.209302326,0.37804878,0.254237288,PrivacySuppressed,0.378378378,0.179347826,0.284552846,0.268041237,NULL,0.134843721,NULL,0.066007547
1303906,South University-Montgomery,Montgomery,AL,0.4366,NULL,599,0.2988,0.6628,0.0117,0.0033,0.0083,0.0033,0,0,0.0117,NULL,0.4808,NULL,1,NULL,23152,28525,NULL,16360,16360,NULL,14726,4728,4566,0.1667,0.7131,0.111824607,0.066038453,37912.69176,22221.08761,9500,9500,27167,301.6093924,0.349280501,0.297383876,0.433681893,0.608558842,0.623390005,0.325618479,0.367156687,0.346802463,0.298770913,0.520691558,0.356197353,0.324677683,0.337491473,0.382868937,NULL,0.109872527,NULL,0.235291176
101500,Enterprise State Community College,Enterprise,AL,NULL,NULL,1984,0.6411,0.2661,0.0444,0.0166,0.0055,0.0015,0.0176,0.0015,0.0055,NULL,0.3538,NULL,1,5048,NULL,10193,NULL,3780,6888,NULL,2129,5930,6257,0.426,0.5121,0.126705653,0.083820663,34659.79194,18018.95286,6000,6000,11073,122.9329997,0.554301834,0.439588689,0.661157025,0.821917808,PrivacySuppressed,0.554572271,0.609467456,0.505464481,0.456521739,0.741803279,0.480769231,0.595890411,0.513605442,0.621359223,0.17611165,NULL,0.338283629,NULL
106000,James H Faulkner State Community College,Bay Minette,AL,NULL,NULL,4182,0.7104,0.2176,0.0263,0.0072,0.0187,0.0012,0.0163,0.0007,0.0017,NULL,0.3867,NULL,1,7404,NULL,11921,NULL,4200,7530,NULL,2187,4101,6116,0.5625,0.4885,0.178591872,0.126502576,39855.02454,21235.89358,5500,5500,9153,101.6170637,0.590852905,0.486891386,0.667903525,0.744186047,0.75,0.572608396,0.616129032,0.554396423,0.526565465,0.71297989,0.594418605,0.576171875,0.60761347,0.58847185,0.119246616,NULL,0.164098246,NULL
100300,Faulkner University,Montgomery,AL,NULL,NULL,2358,0.3919,0.5254,0.0178,0.0047,0.0064,0.0034,0.0119,0.0191,0.0195,NULL,0.2354,NULL,1,NULL,17660,28485,NULL,18230,18230,NULL,10997,5382,6657,0.4757,0.5816,0.2297593,0.156455142,53388.16712,24222.74162,18750,18750,23750,263.6736875,0.563029397,0.477796053,0.65154265,0.812785388,0.733333333,0.560344828,0.656028369,0.526019691,0.497614179,0.748076923,0.546840959,0.595317726,0.59478673,0.564009662,NULL,0.270732323,NULL,0.362349157
101700,Gadsden State Community College,Gadsden,AL,NULL,NULL,5480,0.6792,0.21,0.0261,0.0055,0.0075,0.0015,0.019,0.0135,0.0378,NULL,0.4345,NULL,1,4565,NULL,10247,NULL,3900,7230,NULL,1643,5876,5950,0.463,0.6,0.100082259,0.065533315,21885.58061,13799.68422,333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.149885594,NULL,0.210752778,NULL
4187200,New Beginning College of Cosmetology,Albertville,AL,NULL,NULL,89,0.9326,0.0337,0.0337,0,0,0,0,0,0,NULL,0,NULL,1,NULL,9476,NULL,13482,NULL,NULL,9150,1624,1764,NULL,NULL,0.4898,0.105263158,PrivacySuppressed,33322.63733,16891.77951,7901,7901,9490,105.3584545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.765974468,NULL,0.945962162,NULL
101800,George C Wallace State Community College-Dothan,Dothan,AL,NULL,NULL,4293,0.6306,0.3196,0.024,0.0058,0.0051,0.0019,0.0128,0,0.0002,NULL,0.4675,NULL,1,2681,NULL,8140,NULL,3900,7230,NULL,1927,5296,5544,0.614,0.5548,0.104976389,0.07010534,21522.74494,15576.6484,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.141220042,NULL,0.260445321,NULL
787100,George C Wallace State Community College-Hanceville,Hanceville,AL,NULL,NULL,4904,0.875,0.0593,0.0273,0.0043,0.0075,0.0002,0,0.0069,0.0194,NULL,0.4052,NULL,1,6628,NULL,10822,NULL,4200,7530,NULL,2707,5289,5843,0.4283,0.5017,0.098016336,0.059218203,44668.28842,21529.88828,8250,8250,11330,125.7862265,0.606629393,0.521706587,0.68112544,0.81496063,0.758846658,0.539481268,0.710501419,0.529920692,0.54381161,0.797734628,0.630357143,0.561170213,0.591945289,0.652513966,0.212370465,NULL,0.310233833,NULL
569900,George C Wallace State Community College-Selma,Selma,AL,NULL,NULL,1604,0.2163,0.7594,0.0062,0.0069,0.0037,0.0019,0.0044,0.0006,0.0006,NULL,0.3348,NULL,1,8712,NULL,14835,NULL,3900,7230,NULL,1312,5581,5809,0.5564,0.7687,0.200279135,0.134682484,17421.42283,11867.25343,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.244038312,NULL,0.280347196,NULL
962107,Herzing University-Birmingham,Birmingham,AL,0.7234,NULL,318,0.3491,0.5881,0.0063,0.0094,0,0,0.0314,0,0.0157,NULL,0.4969,NULL,1,NULL,22518,26656,NULL,11150,11150,NULL,8048,6942,5645,0.3077,0.6373,0.1416122,0.082667635,42163.3301,21731.23811,12000,12000,22822,253.3709851,0.474266474,0.41131815,0.584848485,0.748120301,0.686295503,0.414482307,0.630136986,0.441004673,0.418653788,0.693222354,0.460382086,0.522703273,0.475649351,0.50752394,NULL,0.323541176,NULL,0.177788889
