11100|Amarillo, TX|365|272|91|2|.|.|122|74|44|.|.|328|1|36|.
12420|Austin-Round Rock, TX|365|249|112|4|.|.|129|70|44|.|1|208|.|156|.
13140|Beaumont-Port Arthur, TX|365|230|126|9|.|.|129|71|46|.|.|173|13|179|.
15180|Brownsville-Harlingen, TX|365|254|111|.|.|.|95|67|43|.|.|166|.|199|.
18580|Corpus Christi, TX|365|274|91|.|.|.|100|64|42|.|.|192|.|171|2
18620|Corsicana, TX|365|267|93|5|.|.|126|69|42|.|3|229|6|127|.
19100|Dallas-Fort Worth-Arlington, TX|365|140|179|41|5|.|187|108|57|.|7|179|.|174|5
20580|Eagle Pass, TX|330|279|50|1|.|.|105|54|28.5|.|.|.|.|330|.
21340|El Paso, TX|365|165|186|11|3|.|168|84|53|.|32|150|.|167|16
26420|Houston-The Woodlands-Sugar Land, TX|365|155|185|20|5|.|197|87|53|.|17|136|6|203|3
28660|Killeen-Temple, TX|364|296|64|4|.|.|115|67|40|.|.|364|.|.|.
28780|Kingsville, TX|349|293|55|1|.|.|107|55|31|.|.|.|.|349|.
29700|Laredo, TX|365|275|87|3|.|.|122|66|40|1|.|143|.|210|11
30980|Longview, TX|365|301|59|5|.|.|129|64|36|.|1|343|21|.|.
31180|Lubbock, TX|334|310|23|.|1|.|165|45|26|.|.|.|.|334|.
32220|Marshall, TX|365|263|99|3|.|.|108|64|41|.|.|207|.|158|.
32580|McAllen-Edinburg-Mission, TX|365|282|82|1|.|.|106|65|38|.|.|145|.|215|5
36220|Odessa, TX|365|318|46|1|.|.|112|53|30|.|.|.|.|365|.
41700|San Antonio-New Braunfels, TX|365|221|127|15|2|.|154|77|47|.|1|225|1|138|.
45500|Texarkana, TX-AR|57|43|14|.|.|.|94|67|38|.|.|.|.|57|.
46340|Tyler, TX|359|308|47|4|.|.|126|61|38|.|.|359|.|.|.
47020|Victoria, TX|346|330|16|.|.|.|80|46|30|.|.|346|.|.|.
47380|Waco, TX|361|272|85|4|.|.|115|64|41|.|3|250|.|108|.
48660|Wichita Falls, TX|345|308|37|.|.|.|88|52|26|.|.|.|.|345|.
