11100|Amarillo, TX|360|353|7|.|.|.|60|38|23|.|.|.|.|360|.
12420|Austin-Round Rock, TX|365|268|87|10|.|.|133|66|42|.|.|220|.|145|.
13140|Beaumont-Port Arthur, TX|365|165|166|32|2|.|164|100|52|.|.|182|37|146|.
15180|Brownsville-Harlingen, TX|361|256|103|2|.|.|105|64|42|1|.|151|.|208|1
18580|Corpus Christi, TX|363|252|103|8|.|.|126|67|42|.|.|192|5|166|.
18620|Corsicana, TX|364|259|104|1|.|.|105|64|43|.|.|224|3|137|.
19100|Dallas-Fort Worth-Arlington, TX|365|163|174|23|5|.|172|93|52|.|21|188|.|155|1
20580|Eagle Pass, TX|313|264|49|.|.|.|79|55|29|.|.|.|.|313|.
21340|El Paso, TX|365|143|206|13|3|.|191|80|54|.|12|162|.|182|9
26420|Houston-The Woodlands-Sugar Land, TX|365|118|203|27|17|.|179|108|58|.|26|137|21|178|3
28660|Killeen-Temple, TX|365|319|40|6|.|.|115|58|37|.|.|365|.|.|.
28780|Kingsville, TX|307|232|75|.|.|.|91|59|35|.|.|.|.|307|.
29700|Laredo, TX|365|266|99|.|.|.|100|63|40|.|.|132|.|214|19
30980|Longview, TX|365|289|62|14|.|.|133|77|38|.|2|346|17|.|.
31180|Lubbock, TX|365|347|18|.|.|.|72|42|26|.|.|.|.|365|.
32220|Marshall, TX|365|245|111|9|.|.|126|68|44|.|.|193|.|172|.
32580|McAllen-Edinburg-Mission, TX|364|258|106|.|.|.|90|66|40|.|.|141|.|222|1
36220|Odessa, TX|365|329|36|.|.|.|68|50|31|.|.|.|.|365|.
41700|San Antonio-New Braunfels, TX|365|238|116|9|2|.|154|71|44|.|12|183|3|167|.
45500|Texarkana, TX-AR|58|32|26|.|.|.|70|68|48|.|.|.|.|58|.
46340|Tyler, TX|365|297|62|6|.|.|115|67|38|.|2|363|.|.|.
47020|Victoria, TX|359|328|29|2|.|.|112|49|32|.|.|359|.|.|.
47380|Waco, TX|365|303|60|2|.|.|115|56|38|.|1|243|.|121|.
48660|Wichita Falls, TX|309|288|21|.|.|.|60|43|26|.|.|.|.|309|.
